stationid,yeardata,jday,timedata,watertemp1_avg,watertemp1Flag,sp_cond1_avg,salinity1_avg,salinity1Flag,dis_oxy1_avg,dis_oxy1Flag,dis_oxy2_avg,dis_oxy2Flag,depth1_avg,depth1Flag,turbidity1_avg,comments
628,2019,217,100,30.4099998,3,34.9099998,21.8299999,3,82.6999969,3,5.51000023,3,1.99100006,3,10.0699997,
628,2019,217,130,30.3600006,3,33.6899986,20.9899998,3,80.5999985,3,5.38999987,3,1.96800005,3,5.03000021,
628,2019,217,200,30.2999992,3,33.3100014,20.7299995,3,78.5800018,3,5.26999998,3,1.98300004,3,4.46000004,
628,2019,217,230,30.2700005,3,32.9799995,20.5,3,76.3399963,3,5.13000011,3,2.00099993,3,5.76000023,
628,2019,217,300,30.3099995,3,33.5699997,20.9099998,3,72.8700027,3,4.88999987,3,2.03999996,3,5.0999999,
628,2019,217,330,30.1900005,3,32.6100006,20.25,3,67.5100021,3,4.55000019,3,2.06699991,3,3.94000006,
628,2019,217,400,30.2199993,3,32.7299995,20.3299999,3,82.5,3,5.55999994,3,2.06999993,3,5.26000023,
628,2019,217,430,30.1200008,3,31.2600002,19.3199997,3,87.1999969,3,5.92000008,3,2.09200001,3,4.82999992,
628,2019,217,500,30.3500004,3,30.2099991,18.6100006,3,92.3000031,3,6.26000023,3,2.12199998,3,7.98999977,
628,2019,217,530,30.2099991,3,30.2399998,18.6299992,3,85.5,3,5.80999994,3,2.07800007,3,13.8800001,
628,2019,217,600,29.9300003,3,30,18.4799995,3,86.1999969,3,5.9000001,3,2.04699993,3,14.29,
628,2019,217,630,29.2800007,3,29.3600006,18.0499992,3,87.5,3,6.07000017,3,2.09299994,3,8.64000034,
628,2019,217,700,28.9799995,3,28.8999996,17.75,3,87.4000015,3,6.09000015,3,2.08500004,3,5.96000004,
628,2019,217,730,28.8299999,3,28.7999992,17.6800003,3,89.4000015,3,6.26000023,3,2.08599997,3,4.44999981,
628,2019,217,800,29.0599995,3,28.6100006,17.5499992,3,90.6999969,3,6.32999992,3,2.06999993,3,3.94000006,
628,2019,217,830,29.25,3,28.3500004,17.3700008,3,90.6999969,3,6.30999994,3,2.06900001,3,3.5999999,
628,2019,217,900,29.5100002,3,28.1200008,17.2199993,3,92.8000031,3,6.42999983,3,2.06500006,3,3.16000009,
628,2019,217,930,29.6299992,3,28.1800003,17.25,3,91.4000015,3,6.32000017,3,2.07399988,3,3.8599999,
628,2019,217,1000,29.5300007,3,28.3199997,17.3500004,3,94,3,6.51000023,3,2.07800007,3,3.41000009,
628,2019,217,1030,29.4400005,3,28.4500008,17.4300003,3,90,3,6.23999977,3,2.06699991,3,5.05000019,
628,2019,217,1100,29.4500008,3,28.5599995,17.5100002,3,90.5,3,6.26999998,3,2.06200004,3,6.05000019,
628,2019,217,1130,29.5100002,3,29.0699997,17.8600006,3,87.1999969,3,6.03000021,3,2.08299994,3,8.5,
628,2019,217,1200,29.8099995,3,29.2999992,18,3,85.6999969,3,5.88999987,3,2.06599998,3,10.0500002,
628,2019,217,1230,29.9500008,3,29.3099995,18.0100002,3,86.9000015,3,5.94999981,3,2.06900001,3,8.47000027,
