stationid,yeardata,jday,timedata,watertemp1_avg,watertemp1Flag,sp_cond1_avg,salinity1_avg,salinity1Flag,dis_oxy1_avg,dis_oxy1Flag,dis_oxy2_avg,dis_oxy2Flag,depth1_avg,depth1Flag,comments
122,2019,8,700,17.0400009,3,28.3099995,17.5,3,92.8000031,3,8.06999969,3,1.15699995,3,
122,2019,8,730,17.0200005,3,27.1299992,16.7000008,3,94.3000031,3,8.23999977,3,1.16299999,3,
122,2019,8,800,17.0200005,3,27.2700005,16.7999992,3,94.4000015,3,8.25,3,1.153,3,
122,2019,8,830,16.9599991,3,26.0200005,15.9499998,3,93.8000031,3,8.23999977,3,1.13800001,3,
122,2019,8,900,17.0100002,3,24.5699997,14.9799995,3,95,3,8.39000034,3,1.13900006,3,
122,2019,8,930,17.0799999,3,23.1299992,14.0299997,3,92.4000015,3,8.18999958,3,1.14199996,3,
122,2019,8,1000,17.1599998,3,21.9899998,13.2799997,3,95.3000031,3,8.47000027,3,1.14100003,3,
122,2019,8,1030,17.2600002,3,29.2000008,18.1000004,3,90.3000031,3,7.78000021,3,1.14499998,3,
122,2019,8,1100,17.2299995,3,26.7099991,16.4099998,3,85.8000031,3,7.46999979,3,1.14300001,3,
122,2019,8,1130,17.2099991,3,25.7800007,15.79,3,92.1999969,3,8.06999969,3,1.13300002,3,
122,2019,8,1200,17.2700005,3,24.8899994,15.1999998,3,93.5,3,8.19999981,3,1.13999999,3,
122,2019,8,1230,17.3700008,3,26.1499996,16.0400009,3,96.6999969,3,8.42000008,3,1.13399994,3,
122,2019,8,1300,17.5699997,3,24.7700005,15.1199999,3,98.9000015,3,8.63000011,3,1.148,3,
122,2019,8,1330,17.5699997,3,28.4799995,17.6100006,3,100,3,8.59000015,3,1.15100002,3,
122,2019,8,1400,18.0400009,3,43.7200012,28.25,3,91.0999985,3,7.28000021,3,1.148,3,
122,2019,8,1430,17.75,3,46.0900002,29.9599991,3,84.6999969,3,6.73000002,3,1.14699996,3,
122,2019,8,1500,17.7700005,3,46.8899994,30.5400009,3,89.1999969,3,7.05999994,3,1.15199995,3,
122,2019,8,1530,17.7800007,3,46.7400017,30.4300003,3,86.9000015,3,6.88999987,3,1.16999996,3,
122,2019,8,1600,17.8899994,3,47.1599998,30.7399998,3,88.6999969,3,7,3,1.17900002,3,
122,2019,8,1630,18.0799999,3,46.3100014,30.1200008,3,97.1999969,3,7.67999983,3,1.19200003,3,
122,2019,8,1700,17.9300003,3,47.3400002,30.8600006,3,92.5,3,7.28999996,3,1.20899999,3,
122,2019,8,1730,18,3,46.8600006,30.5100002,3,96.3000031,3,7.5999999,3,1.22599995,3,
122,2019,8,1800,17.9899998,3,48.2200012,31.5,3,90.8000031,3,7.11999989,3,1.25399995,3,
122,2019,8,1830,18.1200008,3,47.9599991,31.3199997,3,92.0999985,3,7.21000004,3,1.27699995,3,
122,2019,8,1900,18.1599998,3,48.4300003,31.6499996,3,89.4000015,3,6.98000002,3,1.29999995,3,
122,2019,8,1930,18.2099991,3,48.1199989,31.4300003,3,88.8000031,3,6.94000006,3,1.32000005,3,
122,2019,8,2000,18.2000008,3,47.6699982,31.1100006,3,91.9000015,3,7.19000006,3,1.33399999,3,
122,2019,8,2030,18.2099991,3,47.8499985,31.2299995,3,86.9000015,3,6.80000019,3,1.34599996,3,
122,2019,8,2100,18.2000008,3,48.2200012,31.5,3,80.6999969,3,6.30000019,3,1.347,3,
122,2019,8,2130,18.1900005,3,48.5699997,31.7600002,3,87.6999969,3,6.84000015,3,1.34300005,3,
122,2019,8,2200,18.1800003,3,48.7200012,31.8700008,3,82.9000015,3,6.46000004,3,1.347,3,
122,2019,8,2230,18.1800003,3,48.7700005,31.9099998,3,87.1999969,3,6.78999996,3,1.34099996,3,
122,2019,8,2300,18.1800003,3,49.0200005,32.0900002,3,85.5,3,6.65999985,3,1.35300004,3,
122,2019,8,2330,18.1000004,3,50.0900002,32.8699989,3,83,3,6.44000006,3,1.35099995,3,
122,2019,8,2400,18.1700001,3,49.9500008,32.7700005,3,82.9000015,3,6.42999983,3,1.34599996,3,
122,2019,9,30,18.1599998,3,50.3400002,33.0600014,3,75.3000031,3,5.82999992,3,1.33700001,3,
122,2019,9,100,18.1399994,3,50.7799988,33.3800011,3,82.9000015,3,6.40999985,3,1.32799995,3,
122,2019,9,130,18.1000004,3,45.5499992,29.5699997,3,84,3,6.6500001,3,1.31400001,3,
122,2019,9,200,18,3,45.2799988,29.3700008,3,87.3000031,3,6.94000006,3,1.30799997,3,
122,2019,9,230,18.0499992,3,46.7200012,30.4099998,3,88.5999985,3,6.98000002,3,1.28199995,3,
122,2019,9,300,17.8500004,3,45.2200012,29.3299999,3,89.8000031,3,7.15999985,3,1.273,3,
122,2019,9,330,17.9400005,3,45.6300011,29.6299992,3,89,3,7.07000017,3,1.24300003,3,
122,2019,9,400,17.7800007,3,44.8800011,29.0799999,3,87.6999969,3,7,3,1.22099996,3,
122,2019,9,430,17.5499992,3,43.1500015,27.8400002,3,90.4000015,3,7.30000019,3,1.19299996,3,
122,2019,9,500,17.3899994,3,42.0200005,27.0300007,3,88.8000031,3,7.23999977,3,1.17499995,3,
122,2019,9,530,17.3199997,3,40.9300003,26.25,3,82.4000015,3,6.75,3,1.16199994,3,
122,2019,9,600,17.2900009,3,39.2400017,25.0499992,3,88.1999969,3,7.28999996,3,1.14699996,3,
122,2019,9,630,17.2099991,3,37.75,24.0100002,3,89.9000015,3,7.48000002,3,1.13399994,3,
122,2019,9,700,17.0799999,3,35.5,22.4400005,3,91.8000031,3,7.73999977,3,1.13100004,3,
122,2019,9,730,16.9599991,3,33.0400009,20.7299995,3,91.6999969,3,7.82999992,3,1.10800004,3,
122,2019,9,800,16.8600006,3,32.2000008,20.1499996,3,92.0999985,3,7.9000001,3,1.09899998,3,
122,2019,9,830,16.8099995,3,30.5,18.9799995,3,92.5999985,3,8.01000023,3,1.097,3,
122,2019,9,900,16.8600006,3,31.1800003,19.4500008,3,84.8000031,3,7.30999994,3,1.08899999,3,
122,2019,9,930,16.75,3,30.3299999,18.8700008,3,93.6999969,3,8.11999989,3,1.06799996,3,
122,2019,9,1000,16.6800003,3,28.0599995,17.3299999,3,91.5,3,8.02000046,3,1.06500006,3,
122,2019,9,1030,16.6499996,3,26.7000008,16.4099998,3,94.0999985,3,8.30000019,3,1.06400001,3,
122,2019,9,1100,16.6700001,3,25.8099995,15.8100004,3,94.6999969,3,8.36999989,3,1.06799996,3,
122,2019,9,1130,16.6700001,3,24.9200001,15.2200003,3,94.5999985,3,8.39999962,3,1.07599998,3,
122,2019,9,1200,16.7099991,3,24.3899994,14.8599997,3,94.1999969,3,8.38000011,3,1.08700001,3,
