yyyy,mm,dd,hr,min,sec,0mab,1mab,2mab,3mab,4mab,5mab,6mab,7mab,8mab,9mab,10mab,11mab,12mab,13mab,14mab,15mab,16mab,17mab,18mab,19mab,20mab
2005,1,4,13,0,0,17.573,16.858,15.666,15.459,15.434,15.546,15.63,15.687,15.778,15.787,15.714,15.722,15.729,15.726,15.719,15.763,15.811,15.811,15.811,15.811,15.811
2005,1,4,14,0,0,17.715,16.984,15.767,15.49,15.426,15.506,15.587,15.669,15.693,15.722,15.757,15.741,15.724,15.717,15.714,15.834,15.955,15.955,15.955,15.955,15.955
2005,1,4,15,0,0,17.771,16.994,15.7,15.47,15.415,15.466,15.55,15.665,15.663,15.702,15.783,15.753,15.724,15.716,15.711,15.915,16.121,16.121,16.121,16.121,16.121
2005,1,4,16,0,0,17.802,16.996,15.653,15.427,15.407,15.437,15.487,15.557,15.627,15.697,15.765,15.745,15.726,15.709,15.708,15.984,16.26,16.26,16.26,16.26,16.26
2005,1,4,17,0,0,17.812,17.039,15.75,15.405,15.404,15.442,15.475,15.502,15.62,15.696,15.727,15.724,15.72,15.697,15.83,16.175,16.453,16.453,16.453,16.453,16.453
2005,1,4,18,0,0,17.759,17.009,15.758,15.398,15.385,15.431,15.47,15.504,15.606,15.694,15.767,15.729,15.691,15.691,15.731,16.082,16.413,16.413,16.413,16.413,16.413
2005,1,4,19,0,0,17.686,16.933,15.678,15.383,15.391,15.443,15.485,15.516,15.598,15.683,15.769,15.748,15.727,15.691,15.684,15.999,16.318,16.318,16.318,16.318,16.318
2005,1,4,20,0,0,17.618,16.841,15.546,15.425,15.448,15.5,15.528,15.534,15.556,15.615,15.711,15.8,15.89,15.655,15.678,16.017,16.344,16.344,16.344,16.344,16.344
2005,1,4,21,0,0,17.418,16.689,15.474,15.474,15.513,15.542,15.563,15.576,15.561,15.599,15.689,15.773,15.858,15.648,15.685,15.937,16.171,16.171,16.171,16.171,16.171
2005,1,4,22,0,0,17.282,16.645,15.582,15.507,15.566,15.599,15.634,15.671,15.718,15.764,15.811,15.813,15.815,15.634,15.699,15.836,15.941,15.941,15.941,15.941,15.941
2005,1,4,23,0,0,17.311,16.654,15.559,15.436,15.549,15.633,15.703,15.76,15.813,15.857,15.89,15.853,15.815,15.897,15.808,15.798,15.833,15.833,15.833,15.833,15.833
2005,1,5,0,0,0,17.472,16.764,15.582,15.43,15.575,15.629,15.674,15.713,15.862,15.957,15.997,15.914,15.832,15.922,15.852,15.853,15.89,15.89,15.89,15.89,15.89
2005,1,5,1,0,0,17.638,16.902,15.675,15.506,15.875,15.773,15.723,15.727,15.904,16.007,16.037,15.98,15.924,15.996,15.989,16,16.015,16.015,16.015,16.015,16.015
2005,1,5,2,0,0,17.883,17.071,15.717,15.61,16.182,16.214,16.163,16.03,16.038,16.061,16.098,16.053,16.009,16.065,16.02,16.01,16.024,16.024,16.024,16.024,16.024
2005,1,5,3,0,0,18.076,17.312,16.038,15.594,16.129,16.258,16.316,16.303,16.29,16.248,16.177,16.114,16.052,16.028,16.001,15.995,16.003,16.003,16.003,16.003,16.003
2005,1,5,4,0,0,18.207,17.472,16.247,15.698,16.243,16.322,16.326,16.254,16.254,16.234,16.195,16.122,16.049,16.012,15.972,16.014,16.076,16.076,16.076,16.076,16.076
2005,1,5,5,0,0,18.255,17.552,16.382,15.855,16.247,16.335,16.326,16.22,16.188,16.182,16.204,16.127,16.05,16.007,15.86,15.933,16.08,16.08,16.08,16.08,16.08
2005,1,5,6,0,0,18.241,17.599,16.53,15.836,16.196,16.305,16.323,16.252,16.182,16.152,16.162,16.1,16.038,16.023,15.887,15.982,16.145,16.145,16.145,16.145,16.145
2005,1,5,7,0,0,18.21,17.68,16.798,15.901,16.288,16.37,16.369,16.282,16.208,16.177,16.188,16.074,15.96,16.012,15.932,16.04,16.187,16.187,16.187,16.187,16.187
2005,1,5,8,0,0,18.219,17.787,17.067,15.935,16.296,16.355,16.345,16.268,16.237,16.216,16.203,15.995,15.786,15.809,15.879,16.038,16.161,16.161,16.161,16.161,16.161
2005,1,5,9,0,0,18.232,17.871,17.27,16.139,16.152,16.271,16.302,16.246,16.23,16.191,16.129,16.011,15.893,15.759,15.782,15.891,15.987,15.987,15.987,15.987,15.987
2005,1,5,10,0,0,18.223,17.693,16.81,16.273,16.115,16.246,16.295,16.262,16.217,16.124,15.984,15.898,15.813,15.948,16.076,16.16,16.18,16.18,16.18,16.18,16.18
2005,1,5,11,0,0,18.232,17.632,16.634,16.08,16.12,16.223,16.264,16.245,16.172,16.071,15.941,15.951,15.961,16.142,16.237,16.3,16.315,16.315,16.315,16.315,16.315
2005,1,5,12,0,0,18.267,18.104,17.832,16.672,15.977,16.091,16.145,16.139,16.183,16.213,16.231,16.136,16.041,15.839,16.143,16.299,16.303,16.303,16.303,16.303,16.303
2005,1,5,13,0,0,18.32,18.097,17.727,16.507,15.961,16.086,16.066,15.9,15.926,16.042,16.248,16.168,16.088,15.892,16.063,16.241,16.333,16.333,16.333,16.333,16.333
2005,1,5,14,0,0,18.313,18.208,18.034,16.561,16,16.019,15.923,15.713,15.796,15.976,16.252,16.205,16.157,15.991,15.977,16.145,16.32,16.32,16.32,16.32,16.32
2005,1,5,15,0,0,18.338,18.292,18.216,16.892,16,15.973,15.881,15.726,15.746,15.921,16.25,16.21,16.17,16.052,15.938,16.093,16.306,16.306,16.306,16.306,16.306
2005,1,5,16,0,0,18.343,18.324,18.292,17.284,16.216,15.939,15.751,15.65,15.746,15.943,16.241,16.206,16.17,16.084,15.992,16.042,16.138,16.138,16.138,16.138,16.138
2005,1,5,17,0,0,18.342,18.337,18.328,17.755,16.44,16.009,15.745,15.648,15.747,15.882,16.051,16.125,16.199,16.11,15.994,16.085,16.233,16.233,16.233,16.233,16.233
2005,1,5,18,0,0,18.33,18.325,18.317,17.882,16.394,15.999,15.759,15.675,15.769,15.846,15.907,16.062,16.218,16.143,16.04,16.081,16.174,16.174,16.174,16.174,16.174
2005,1,5,19,0,0,18.283,18.268,18.243,17.812,16.209,15.879,15.743,15.802,15.96,16.062,16.109,16.11,16.11,16.014,16.033,16.055,16.067,16.067,16.067,16.067,16.067
2005,1,5,20,0,0,18.234,18.227,18.217,18.161,16.829,16.112,15.739,15.709,15.816,15.976,16.188,16.166,16.144,16.011,16.002,16.044,16.091,16.091,16.091,16.091,16.091
2005,1,5,21,0,0,18.235,18.23,18.222,18.205,17.53,16.502,15.874,15.646,15.719,15.849,16.034,16.126,16.218,16.082,15.961,15.999,16.097,16.097,16.097,16.097,16.097
2005,1,5,22,0,0,18.254,18.252,18.248,18.185,16.89,16.294,15.89,15.679,15.671,15.711,15.798,16.02,16.243,16.134,15.978,15.991,16.081,16.081,16.081,16.081,16.081
2005,1,5,23,0,0,18.267,18.259,18.247,18.01,16.519,16.069,15.784,15.664,15.633,15.676,15.791,15.905,16.018,16.242,16.066,16.024,16.069,16.069,16.069,16.069,16.069
2005,1,6,0,0,0,18.266,18.252,18.228,17.854,16.354,15.898,15.63,15.551,15.693,15.926,16.251,16.243,16.235,16.25,16.088,16.027,16.046,16.046,16.046,16.046,16.046
2005,1,6,1,0,0,18.266,18.248,18.218,17.413,16.347,15.88,15.644,15.64,16.191,16.439,16.384,16.315,16.246,16.25,16.125,16.021,15.979,15.979,15.979,15.979,15.979
2005,1,6,2,0,0,18.286,18.251,18.192,17.022,16.066,15.791,15.884,16.346,16.451,16.413,16.234,16.23,16.226,16.221,15.996,15.964,16.044,16.044,16.044,16.044,16.044
